DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
gran_lider_5_1_decoded	 3.578	 0.000	 0	 8000	0.0040
 gran_lider_5_2_decoded	 3.660	 0.000	 0	 8000	0.0040
 gran_lider_5_3_decoded	 3.721	 0.000	 0	 8000	0.0040
 gran_lider_5_4_decoded	 3.428	 0.000	 0	 8000	0.0040
 gran_lider_5_5_decoded	 3.574	 0.000	 0	 8000	0.0040
 gran_lider_5_6_decoded	 3.603	 0.000	 0	 8000	0.0040
 gran_lider_5_7_decoded	 3.540	 0.000	 0	 8000	0.0040
 gran_lider_5_8_decoded	 3.367	 0.000	 0	 8000	0.0040
 gran_lider_5_9_decoded	 3.324	 0.000	 0	 8000	0.0040
 gran_lider_5_10_decoded	 3.720	 0.000	 0	 8000	0.0040
 gran_lider_5_11_decoded	 3.445	 0.000	 0	 8000	0.0040
 gran_lider_5_12_decoded	 3.646	 0.000	 0	 8000	0.0040
 gran_lider_5_13_decoded	 3.500	 0.000	 0	 8000	0.0040
 gran_lider_5_14_decoded	 3.586	 0.000	 0	 8000	0.0040
 gran_lider_5_15_decoded	 3.501	 0.000	 0	 8000	0.0040
 gran_lider_5_16_decoded	 3.702	 0.000	 0	 8000	0.0040
 gran_lider_5_17_decoded	 3.403	 0.000	 0	 8000	0.0040
 gran_lider_5_18_decoded	 3.388	 0.000	 0	 8000	0.0040
 gran_lider_5_19_decoded	 3.571	 0.000	 0	 8000	0.0040
 gran_lider_5_20_decoded	 3.576	 0.000	 0	 8000	0.0040
 gran_lider_5_21_decoded	 3.587	 0.000	 0	 8000	0.0040
 gran_lider_5_22_decoded	 3.704	 0.000	 0	 8000	0.0040
 gran_lider_5_23_decoded	 3.574	 0.000	 0	 8000	0.0040
 gran_lider_5_24_decoded	 3.510	 0.000	 0	 8000	0.0040
 gran_lider_5_25_decoded	 3.758	 0.000	 0	 8000	0.0040
 gran_lider_5_26_decoded	 3.530	 0.000	 0	 8000	0.0040
 gran_lider_5_27_decoded	 3.490	 0.000	 0	 8000	0.0040
 gran_lider_5_28_decoded	 3.354	 0.000	 0	 8000	0.0040
 gran_lider_5_29_decoded	 3.408	 0.000	 0	 8000	0.0040
 gran_lider_5_30_decoded	 3.591	 0.000	 0	 8000	0.0040
 gran_lider_5_31_decoded	 3.572	 0.000	 0	 8000	0.0040
 gran_lider_5_32_decoded	 1.480	 0.000	 0	 8000	0.0040
 gran_lider_5_33_decoded	 3.197	 0.000	 0	 8000	0.0040
 gran_lider_5_34_decoded	 3.587	 0.000	 0	 8000	0.0040
 gran_lider_5_35_decoded	 3.612	 0.000	 0	 8000	0.0040
 gran_lider_5_36_decoded	 3.634	 0.000	 0	 8000	0.0040
 gran_lider_5_37_decoded	 3.368	 0.000	 0	 8000	0.0040
 gran_lider_5_38_decoded	 3.398	 0.000	 0	 8000	0.0040
 gran_lider_5_39_decoded	 3.638	 0.000	 0	 8000	0.0040
